,Year,Gross Production,New Imports,Used Imports,Production for Feedstock,New Imports for Feedstock,Used Imports for Feedstock,New Exports,Used Exports,Destruction
kg,2023,145018.82,67893.58135,183.981,-15165.57744,-7777.12,0,-22172.27307,0,-764.9335
MTCO2e,2023,186343348.8,124438526.2,422540.2504,-13803389.3,-2067870.88,0,-33721490.01,0,-8705669.493
,,,,,,,,,,
,,,,,,,,,,
,2024,Gross Production,Total Imports,Total Feedstock,Total Exports,Destruction,AIM Act Consumption,,,
kg,2024,145018.82,68077.56235,-22942.69744,-22172.27307,-764.9335,167216.4784,,,
MTCO2e,2024,186343348.8,124861066.4,-15871260.18,-33721490.01,-8705669.493,252905995.5,,,
