End-Uses,Substitute,Trade Name,"Retrofit/New",ODP,GWP,ASHRAE Designation (Safety Classification),SNAP Listing Date,Listing Status,Further Information
Stand-Alone Equipment,Free Zone (HCFC Blend Delta),Free Zone / RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Stand-Alone Equipment,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Stand-Alone Equipment,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Stand-Alone Equipment,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Stand-Alone Equipment,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Supermarket Systems,Free Zone (HCFC Blend Delta),Free Zone / RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Supermarket Systems,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Supermarket Systems,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Supermarket Systems,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Supermarket Systems,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Supermarket Systems,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Supermarket Systems,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Vending Machines,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Vending Machines,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Vending Machines,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Vending Machines,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Vending Machines,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Very Low Temperature Refrigeration Systems,NARM-502,,R/N,>0,N/A,A1,"September 5, 1996",Acceptable,
Water Coolers,Free Zone (HCFC Blend Delta),Free Zone/ RB-276,R/N,0.013,"1,592",A1,"September 5, 1996",Acceptable,
Water Coolers,Freeze 12,Freeze 12,R/N,0.013,"1,606",A1,"September 5, 1996",Acceptable,
Water Coolers,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Water Coolers,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Water Coolers,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"September 5, 1996",Acceptable,
Industrial Process Refrigeration,HFC-236fa,,R/N,0,"9,810",A1,"March 10, 1997",Acceptable,
Centrifugal Chillers,G2018C,G2018C,R/N,0.053,"1,731",A1,"September 5, 1996",Acceptable,
Centrifugal Chillers,GHG-X4,"GHG-X4, Autofrost, Chill-it",R/N,0.045,"1,478",A1,"September 5, 1996",Acceptable,
Cold Storage Warehouses,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Cold Storage Warehouses,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Commerical Ice Machines,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Commerical Ice Machines,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Household Refrigerators and Freezers,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Household Refrigerators and Freezers,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Industrial Process Refrigeration,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Industrial Process Refrigeration,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Positive Displacement Chillers,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,Originally listed under reciprocating chillers only. 
Refrigerated Food Processing and Dispensing Equipment,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Refrigerated Transport,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Refrigerated Transport,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Remote Condensing Units,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Remote Condensing Units,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Residential Dehumidifiers,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Residential Dehumidifiers,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Stand-Alone Equipment,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Stand-Alone Equipment,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Supermarket Systems,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Supermarket Systems,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Vending Machines,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Vending Machines,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Water Coolers,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Water Coolers,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Centrifugal Chillers,GHG-X5,GHG-X5,R/N,0.032,"2,377",A1,"June 3, 1997",Acceptable,
Cold Storage Warehouses,Self-chilling cans using CO2,,N,0,1,A1,"February 24, 1998",Acceptable,
Household Refrigerators and Freezers,Self-chilling cans using CO2,,N,0,1,A1,"February 24, 1998",Acceptable,
Household Refrigerators and Freezers,THR-01,,N,>0,N/A,A2,"February 24, 1998",Acceptable,
Non-Mechanical Heat Transfer Systems,Galden Fluids,,R,0,N/A,A1,"February 24, 1998",Acceptable,
Refrigerated Transport,FRIGC FR-12 (HCFC Blend Beta),FRIGC FR-12,R/N,0.009,"1,081",A1,"February 24, 1998",Acceptable,
Refrigerated Transport,Self-chilling cans using CO2,,N,0,1,A1,"February 24, 1998",Acceptable,
Remote Condensing Units,Self-chilling cans using CO2,,N,0,1,A1,"February 24, 1998",Acceptable,
Stand-Alone Equipment,Self-chilling cans using CO2,,N,0,1,A1,"February 24, 1998",Acceptable,
Supermarket Systems,Self-chilling cans using CO2,,N,0,1,A1,"February 24, 1998",Acceptable,
Supermarket Systems,Self-chilling cans using CO2,,N,0,1,A1,"February 24, 1998",Acceptable,
Vending Machines,Self-chilling cans using CO2,,N,0,1,A1,"February 24, 1998",Acceptable,
Cold Storage Warehouses,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Commerical Ice Machines,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Household Refrigerators and Freezers,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Ice Skating Rinks,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Industrial Process Refrigeration,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Non-Mechanical Heat Transfer Systems,HFC-236fa,,R/N,0,"9,810",A1,"June 8, 1999",Acceptable with Use Conditions: When manufactured using any process that does not convert perfluoroisobutylene (PFIB) directly to HFC-236fa in a single step.,
Refrigerated Food Processing and Dispensing Equipment,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Refrigerated Transport,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Remote Condensing Units,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Stand-Alone Equipment,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Supermarket Systems,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Vending Machines,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Water Coolers,THR-04,,R/N,>0,N/A,A1,"June 8, 1999",Acceptable,
Centrifugal Chillers,HCFC-123,,R/N,0.02,77,B1,"March 18, 1994",Acceptable,
Centrifugal Chillers,HCFC-124,,R/N,0.022,609,A1,"March 18, 1994",Acceptable,
Cold Storage Warehouses,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Cold Storage Warehouses,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Cold Storage Warehouses,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Commerical Ice Machines,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Commerical Ice Machines,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Commerical Ice Machines,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Household Refrigerators and Freezers,THR-02,,N,0,N/A,A1,"December 6, 1999",Acceptable,
Ice Skating Rinks,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Industrial Process Air Conditioning,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Industrial Process Air Conditioning,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Industrial Process Air Conditioning,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Industrial Process Refrigeration,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Industrial Process Refrigeration,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Industrial Process Refrigeration,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Positive Displacement Chillers,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,Originally listed under reciprocating chillers only. 
Refrigerated Food Processing and Dispensing Equipment,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Refrigerated Transport,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Refrigerated Transport,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Refrigerated Transport,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Remote Condensing Units,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Remote Condensing Units,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Remote Condensing Units,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable with Use Conditions: For use in residential window unit air conditioning.,
Residential Dehumidifiers,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Stand-Alone Equipment,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Stand-Alone Equipment,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Supermarket Systems,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Supermarket Systems,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Supermarket Systems,THR-03,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Vending Machines,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Vending Machines,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Water Coolers,Ikon B,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Water Coolers,THR-02,,R/N,0,N/A,A1,"December 6, 1999",Acceptable,
Centrifugal Chillers,HCFC-22,22,N,0.055,"1,810",A1,"March 18, 1994",Acceptable,
Cold Storage Warehouses,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Commerical Ice Machines,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Household Refrigerators and Freezers,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Household Refrigerators and Freezers,Ikon B,,N,0,N/A,A1,"June 19, 2000",Acceptable,
Industrial Process Air Conditioning,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Industrial Process Refrigeration,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Non-Mechanical Heat Transfer Systems,HFC-4310mee,,R/N,0,"1,640",A1,"June 19, 2000",Acceptable,
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles","Small auxiliary power units that include an engine, electrical alternator, water pump, air conditioning compressor and a heat exchanger used in tractor trailers in conjunction with passenger compartment climate control systems that already use an acceptable substitute refrigerant.", ,R/N,0,N/A,N/A,"June 19, 2000",Acceptable,
Positive Displacement Chillers,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Refrigerated Transport,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Remote Condensing Units,Ikon A,"Ikon-12, Blend Zeta",R/N,0,N/A,A1,"June 19, 2000",Acceptable,
Stand-Alone Equipment,Ikon A,"Ikon-12, Blend Zeta",R/N,0,N/A,A1,"June 19, 2000",Acceptable,
Supermarket Systems,Ikon A,"Ikon-12, Blend Zeta",R/N,0,N/A,A1,"June 19, 2000",Acceptable,
Vending Machines,Ikon A,"Ikon-12, Blend Zeta",R/N,0,N/A,A1,"June 19, 2000",Acceptable,
Water Coolers,Ikon A,"Ikon-12, Blend Zeta",N,0,N/A,A1,"June 19, 2000",Acceptable,
Cold Storage Warehouses,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Cold Storage Warehouses,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Commerical Ice Machines,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Commerical Ice Machines,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Industrial Process Air Conditioning,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Industrial Process Air Conditioning,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Industrial Process Refrigeration,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Industrial Process Refrigeration,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Industrial Process Refrigeration,SP34E,SP34E,R/N,0,"<1,470",A1,"December 18, 2000",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Refrigerated Transport,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Refrigerated Transport,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Remote Condensing Units,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Remote Condensing Units,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Supermarket Systems,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Supermarket Systems,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Water Coolers,FOR12A,FOR12A,R/N,0,"1,100",A1,"December 18, 2000",Acceptable,
Water Coolers,FOR12B,FOR12B,R/N,0,"1,000",A1,"December 18, 2000",Acceptable,
Cold Storage Warehouses,HFC-134a/HBr (92/8),,N,0.0016,N/A,A1,"May 23, 2001",Acceptable: Only acceptable for use as the primary heat transfer fluid in secondary-loop equipment for not-in-kind replacements.,
Industrial Process Refrigeration,HFC-134a/HBr (92/8),,N,0.0016,N/A,A1,"May 23, 2001",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,HFC-134a/HBr (92/8),,N,0.0016,N/A,A1,"May 23, 2001",Acceptable: Only acceptable for use as the primary heat transfer fluid in secondary-loop equipment for not-in-kind replacements.,
Refrigerated Transport,HFC-134a/HBr (92/8),,N,0.0016,N/A,A1,"May 23, 2001",Acceptable,
Remote Condensing Units,HFC-134a/HBr (92/8),,N,0.0016,N/A,A1,"May 23, 2001",Acceptable: Only acceptable for use as the primary heat transfer fluid in secondary-loop equipment for not-in-kind replacements.,
Stand-Alone Equipment,HFC-134a/HBr (92/8),,N,0.0016,N/A,A1,"May 23, 2001",Acceptable: Only acceptable for use as the primary heat transfer fluid in secondary-loop equipment for not-in-kind replacements.,
Supermarket Systems,HFC-134a/HBr (92/8),,N,0.0016,N/A,A1,"May 23, 2001",Acceptable: Only acceptable for use as the primary heat transfer fluid in secondary-loop equipment for not-in-kind replacements.,
Very Low Temperature Refrigeration Systems,"PFC-330ST, PFC-550HC, PFC-660HC, PFC-1100HC, PFC-1100LT, PGC-100, PGC-150, PFC-331ST, PFC-551HC, PFC-661HC, PFC-1101HC, and PGC-151",,R/N,>0,N/A,N/A,"May 23, 2001",Acceptable,
Very Low Temperature Refrigeration Systems,"PFC-1102HC, PFC-662HC, PFC-552HC, and FLC-15",,N,>0,N/A,A1,"March 22, 2002",Acceptable,
Ice Skating Rinks,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002",Acceptable,
Ice Skating Rinks,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"December 20, 2002",Acceptable,
Industrial Process Air Conditioning,Hot Shot,"Hot Shot, Kar Kool",R/N,0.098,"3,337",A1,"December 20, 2002",Acceptable,
Industrial Process Air Conditioning,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002",Acceptable,
Non-Mechanical Heat Transfer Systems,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002",Acceptable,
Non-Mechanical Heat Transfer Systems,R-410A,"AZ-20, Suva 9100, Puron",N,0,"2,090",A1,"December 20, 2002",Acceptable,
Non-Mechanical Heat Transfer Systems,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"December 20, 2002",Acceptable,
"Passenger Air Conditioning in Light-Duty, Medium-Duty, Heavy-Duty and Off-Road Vehicles",RS-24 (2002 formulation),,R/N,0,"1,510",A1,"December 20, 2002",Acceptable with Use Conditions: See notice for detailed conditions.,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002",Acceptable,
Residential Dehumidifiers,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002",Acceptable,
Residential Dehumidifiers,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"December 20, 2002",Acceptable,
Very Low Temperature Refrigeration Systems,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002",Acceptable,
Water Coolers,R-404A,HP-62,R/N,0,"3,920",A1,"December 20, 2002",Acceptable,
Water Coolers,"R-507, R-507A",AZ-50,R/N,0,"3,990",A1,"December 20, 2002",Acceptable,
Very Low Temperature Refrigeration Systems,ISCEON 89,ISCEON 89,R/N,0,"3,792",A1,"August 21, 2003",Acceptable,
Centrifugal Chillers,HCFC-22/HCFC-142b,,R/N,0.055-0.065,"1,810-2,310",A1,"June 3, 1997",Acceptable,
Cold Storage Warehouses,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Commerical Ice Machines,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Commerical Ice Machines,R-422A,ISCEON 79,R/N,0,"3,140",A1,"October 1, 2004",Acceptable,
Household Refrigerators and Freezers,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Ice Skating Rinks,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Ice Skating Rinks,R-422A,ISCEON 79,R/N,0,"3,140",A1,"October 1, 2004",Acceptable,
Industrial Process Air Conditioning,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Industrial Process Refrigeration,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Industrial Process Refrigeration,R-422A,ISCEON 79,R/N,0,"3,140",A1,"October 1, 2004",Acceptable,
Positive Displacement Chillers,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,Not originally listed under scroll chillers.
Refrigerated Food Processing and Dispensing Equipment,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Refrigerated Transport,R-422A,ISCEON 79,R/N,0,"3,140",A1,"October 1, 2004",Acceptable,
Remote Condensing Units,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Residential Dehumidifiers,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Stand-Alone Equipment,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Supermarket Systems,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Vending Machines,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Water Coolers,R-420A,Choice R-420A,R/N,0.008,"1,536",A1,"October 1, 2004",Acceptable,
Commerical Ice Machines,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Commerical Ice Machines,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Commerical Ice Machines,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006",Acceptable,
Industrial Process Air Conditioning,HFC-245fa,Genetron® 245fa,R/N,0,"1,030",A1,"March 29, 2006",Acceptable,
Industrial Process Air Conditioning,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Industrial Process Air Conditioning,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Industrial Process Air Conditioning,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006",Acceptable,
Industrial Process Refrigeration,HFC-245fa,Genetron® 245fa,R/N,0,"1,030",A1,"March 29, 2006",Acceptable,
Non-Mechanical Heat Transfer Systems,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Non-Mechanical Heat Transfer Systems,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Non-Mechanical Heat Transfer Systems,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006",Acceptable,
Refrigerated Transport,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Refrigerated Transport,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Refrigerated Transport,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006",Acceptable,
Remote Condensing Units,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Residential and Light Commercial Air Conditioning and Heat Pumps ,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006",Acceptable,
Residential Dehumidifiers,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Residential Dehumidifiers,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Residential Dehumidifiers,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006",Acceptable,
Supermarket Systems,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Very Low Temperature Refrigeration Systems,HFC-245fa,Genetron® 245fa,R/N,0,"1,030",A1,"March 29, 2006",Acceptable,
Very Low Temperature Refrigeration Systems,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Very Low Temperature Refrigeration Systems,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Very Low Temperature Refrigeration Systems,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006",Acceptable,
Water Coolers,R-125/R-290/R-134a/R-600a (55.0/1.0/42.5/1.5),ICOR AT-22,R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Water Coolers,R-422B,"ICOR XAC1, NU-22B",R/N,0,"2,530",A1,"March 29, 2006",Acceptable,
Water Coolers,R-422C,ICOR XLT1,R/N,0,"3,390",A1,"March 29, 2006",Acceptable,
Commerical Ice Machines,R-421A,Choice R-421A,R/N,0,"2,630",A1,"September 28, 2006",Acceptable,
Commerical Ice Machines,R-421B,Choice R-421B,R/N,0,"3,190",A1,"September 28, 2006",Acceptable,
Commerical Ice Machines,R-422D,ISCEON MO29,R/N,0,"2,730",A1,"September 28, 2006",Acceptable,
Commerical Ice Machines,R-424A,RS-44,R/N,0,"2,440",A1,"September 28, 2006",Acceptable,
Industrial Process Air Conditioning,R-421A,Choice R-421A,R/N,0,"2,630",A1,"September 28, 2006",Acceptable,
Industrial Process Air Conditioning,R-422D,ISCEON MO29,R/N,0,"2,730",A1,"September 28, 2006",Acceptable,
Industrial Process Air Conditioning,R-424A,RS-44,R/N,0,"2,440",A1,"September 28, 2006",Acceptable,
Non-Mechanical Heat Transfer Systems,R-422D,ISCEON MO29,R/N,0,"2,730",A1,"September 28, 2006",Acceptable,
Refrigerated Transport,R-421A,Choice R-421A,R/N,0,"2,630",A1,"September 28, 2006",Acceptable,
