End-Uses,Substitute,Trade Name,"Retrofit/New",ODP,GWP,ASHRAE Designation (Safety Classification),SNAP Listing Date,Listing Status,Further Information
Industrial Process Refrigeration,HFC-23,,R/N,0,"14,800",A1,"August 26, 1994",Acceptable,
Industrial Process Refrigeration,R-403B,ISCEON 69-L,R/N,0.041,"3,096",A1,"August 26, 1994",Acceptable,
Industrial Process Refrigeration,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Industrial Process Refrigeration,R-408A (HCFC Blend Epsilon),,R,0.026,55,A1,"August 26, 1994",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-408A (HCFC Blend Epsilon),,R,0.026,55,A1,"August 26, 1994",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-409A (HCFC Blend Gamma),R-409A (HCFC Blend Gamma),R,0.047,"1,558",A1,"August 26, 1994",Acceptable,
Refrigerated Transport,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Refrigerated Transport,R-408A (HCFC Blend Epsilon),,R,0.026,55,A1,"August 26, 1994",Acceptable,
Refrigerated Transport,R-409A (HCFC Blend Gamma),R-409A (HCFC Blend Gamma),R,0.047,"1,558",A1,"August 26, 1994",Acceptable,
Remote Condensing Units,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Remote Condensing Units,R-408A (HCFC Blend Epsilon),,R,0.026,55,A1,"August 26, 1994",Acceptable,
Remote Condensing Units,R-409A (HCFC Blend Gamma),R-409A (HCFC Blend Gamma),R,0.047,"1,558",A1,"August 26, 1994",Acceptable,
Residential Dehumidifiers,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Residential Dehumidifiers,R-409A (HCFC Blend Gamma),R-409A (HCFC Blend Gamma),R,0.047,"1,558",A1,"August 26, 1994",Acceptable,
Stand-Alone Equipment,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Stand-Alone Equipment,R-408A (HCFC Blend Epsilon),,R,0.026,55,A1,"August 26, 1994",Acceptable,
Stand-Alone Equipment,R-409A (HCFC Blend Gamma),R-409A (HCFC Blend Gamma),R,0.047,"1,558",A1,"August 26, 1994",Acceptable,
Supermarket Systems,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Supermarket Systems,R-408A (HCFC Blend Epsilon),,R,0.026,55,A1,"August 26, 1994",Acceptable,
Supermarket Systems,R-409A (HCFC Blend Gamma),R-409A (HCFC Blend Gamma),R,0.047,"1,558",A1,"August 26, 1994",Acceptable,
Vending Machines,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Vending Machines,R-409A (HCFC Blend Gamma),R-409A (HCFC Blend Gamma),R,0.047,"1,558",A1,"August 26, 1994",Acceptable,
Very Low Temperature Refrigeration Systems,HFC-23,,R/N,0,"14,800",A1,"August 26, 1994",Acceptable,
Very Low Temperature Refrigeration Systems,R-403B,ISCEON 69-L,R/N,0.041,"3,096",A1,"August 26, 1994",Acceptable,
Water Coolers,R-406A,GHG,R,0.057,"1,900",A2,"August 26, 1994",Acceptable,
Water Coolers,R-409A (HCFC Blend Gamma),R-409A (HCFC Blend Gamma),R,0.047,"1,558",A1,"August 26, 1994",Acceptable,
Cold Storage Warehouses,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Cold Storage Warehouses,R-401B,SUVA MP-66,R/N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Commerical Ice Machines,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Commerical Ice Machines,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Household Refrigerators and Freezers,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Household Refrigerators and Freezers,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Industrial Process Air Conditioning,HCFC-22,22,N,0.055,"1,810",A1,"January 13, 1995",Acceptable,EPA recommends that HCFC-22 only be used where ambient temperatures are lower than 115°F because of very high system pressures.
Industrial Process Air Conditioning,R-401A,SUVA MP-39,R,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Industrial Process Air Conditioning,R-401B,SUVA MP-66,R,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Industrial Process Refrigeration,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Industrial Process Refrigeration,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Positive Displacement Chillers,R-401A,SUVA MP-39,R/N,0.037,"1,182",A1,"January 13, 1995",Acceptable,Originally listed under reciprocating chillers only. 
Positive Displacement Chillers,R-401B,SUVA MP-66,R/N,0.040,"1,288",A1,"January 13, 1995",Acceptable,Originally listed under reciprocating chillers only. 
Refrigerated Food Processing and Dispensing Equipment,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Refrigerated Food Processing and Dispensing Equipment,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Refrigerated Transport,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Refrigerated Transport,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
Remote Condensing Units,R-401A,SUVA MP-39,N,0.037,"1,182",A1,"January 13, 1995",Acceptable,
Remote Condensing Units,R-401B,SUVA MP-66,N,0.040,"1,288",A1,"January 13, 1995",Acceptable,
